작성팀 (일자),Level(*),L1,L2,L3,L4,L5,L6,필요인력,필요기간,MM,정의,프로세스 오너부서(L5),산출물(L5),선행 프로세스(L5),후행 프로세스(L5),준수지표(L5),소요기간(L5),수행주기(L5),참여(L5),바로가기 URL(L5),업무담당부서(L6),참여부서(L6),시스템,작업방식(L6),후행 액티비티(L6),L6의 선행 L5,L6의 후행 L5,수행 milestone
기획팀 (2024-01),L4,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,,,0,0,0,제품 기획 및 전략 수립 단계,,,,,,,,,,,,,,,,,
기획팀 (2024-01),L5,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,시장조사,,3,4,12,시장 동향 및 경쟁사 분석,기획팀,시장조사보고서,,요구사항분석,완료율 90%,4주,분기별,기획팀/마케팅팀,,,,,,,,,M1
기획팀 (2024-02),L5,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,위험관리,,2,3,6,프로젝트 위험 식별 및 대응 계획,기획팀,위험관리계획서,프로젝트계획,,완료율 100%,3주,월별,기획팀/품질팀,,,,,,,,,M2
기획팀 (2024-02),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,위험관리,위험식별,1,1,1,프로젝트 위험 요소 식별,,,,,,,,,,,기획팀,품질팀,수작업,분석,위험분석,위험관리,,M2
기획팀 (2024-02),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,위험관리,위험분석,1,1,1,위험 영향도 및 발생 확률 분석,,,,,,,,,,,기획팀,품질팀,수작업,분석,대응계획수립,위험관리,,M2
기획팀 (2024-02),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,위험관리,대응계획수립,1,1,1,위험 대응 및 완화 계획 수립,,,,,,,,,,,기획팀,,수작업,계획수립,,,위험관리,M2
디자인팀 (2024-02),L4,전략기획,제품개발,스마트홈프로젝트,[Design]설계,,,0,0,0,제품 설계 및 디자인 단계,,,,,,,,,,,,,,,,,
디자인팀 (2024-02),L5,전략기획,제품개발,스마트홈프로젝트,[Design]설계,UX설계,,3,6,18,사용자 경험 설계,디자인팀,UX설계서,요구사항분석,UI설계,완료율 95%,6주,프로젝트별,디자인팀/기획팀,,,,,,,,,M3
디자인팀 (2024-02),L6,전략기획,제품개발,스마트홈프로젝트,[Design]설계,UX설계,사용자여정맵작성,1,2,2,사용자 여정 및 터치포인트 분석,,,,,,,,,,,디자인팀,기획팀,Figma,설계,와이어프레임작성,UX설계,,M3
디자인팀 (2024-02),L6,전략기획,제품개발,스마트홈프로젝트,[Design]설계,UX설계,와이어프레임작성,1,2,2,페이지 구조 및 레이아웃 설계,,,,,,,,,,,디자인팀,,Figma,설계,정보구조설계,UX설계,,M3
디자인팀 (2024-02),L6,전략기획,제품개발,스마트홈프로젝트,[Design]설계,UX설계,정보구조설계,1,2,2,정보 계층 및 네비게이션 설계,,,,,,,,,,,디자인팀,기획팀,Figma,설계,사용성테스트,UX설계,,M3
디자인팀 (2024-02),L6,전략기획,제품개발,스마트홈프로젝트,[Design]설계,UX설계,사용성테스트,1,1,1,UX 프로토타입 사용성 검증,,,,,,,,,,,디자인팀,기획팀,수작업,테스트,,,UX설계,M3
디자인팀 (2024-03),L5,전략기획,제품개발,스마트홈프로젝트,[Design]설계,UI설계,,3,5,15,사용자 인터페이스 설계,디자인팀,UI설계서,UX설계,시스템설계,완료율 95%,5주,프로젝트별,디자인팀,,,,,,,,,M3
디자인팀 (2024-03),L6,전략기획,제품개발,스마트홈프로젝트,[Design]설계,UI설계,비주얼디자인,2,3,6,시각적 요소 및 브랜딩 디자인,,,,,,,,,,,디자인팀,마케팅팀,Figma,설계,컴포넌트설계,UI설계,,M3
디자인팀 (2024-03),L6,전략기획,제품개발,스마트홈프로젝트,[Design]설계,UI설계,컴포넌트설계,1,2,2,재사용 가능한 UI 컴포넌트 설계,,,,,,,,,,,디자인팀,개발팀,Figma,설계,반응형설계,UI설계,,M3
디자인팀 (2024-03),L6,전략기획,제품개발,스마트홈프로젝트,[Design]설계,UI설계,반응형설계,1,2,2,다양한 디바이스 대응 설계,,,,,,,,,,,디자인팀,개발팀,Figma,설계,프로토타입제작,UI설계,,M3
디자인팀 (2024-03),L6,전략기획,제품개발,스마트홈프로젝트,[Design]설계,UI설계,프로토타입제작,1,2,2,인터랙티브 프로토타입 제작,,,,,,,,,,,디자인팀,,Figma,프로토타이핑,,,UI설계,M3
개발팀 (2024-03),L4,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,,,0,0,0,시스템 아키텍처 설계 단계,,,,,,,,,,,,,,,,,
개발팀 (2024-03),L5,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,시스템설계,,4,6,24,전체 시스템 아키텍처 설계,개발팀,시스템설계서,UI설계,데이터베이스설계,완료율 100%,6주,프로젝트별,개발팀/인프라팀,,,,,,,,,M4
개발팀 (2024-03),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,시스템설계,아키텍처패턴선정,1,2,2,시스템 아키텍처 패턴 선택,,,,,,,,,,,개발팀,인프라팀,수작업,설계,기술스택선정,시스템설계,,M4
개발팀 (2024-03),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,시스템설계,기술스택선정,1,2,2,개발 기술 스택 선정,,,,,,,,,,,개발팀,인프라팀,수작업,조사,시스템구조설계,시스템설계,,M4
개발팀 (2024-03),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,시스템설계,시스템구조설계,2,3,6,전체 시스템 구조 및 모듈 설계,,,,,,,,,,,개발팀,,Enterprise Architect,설계,API설계,시스템설계,,M4
개발팀 (2024-03),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,시스템설계,API설계,1,2,2,시스템 간 API 인터페이스 설계,,,,,,,,,,,개발팀,외부업체,Swagger,설계,,,시스템설계,M4
개발팀 (2024-04),L5,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,데이터베이스설계,,3,5,15,데이터베이스 스키마 설계,개발팀,DB설계서,시스템설계,보안설계,완료율 100%,5주,프로젝트별,개발팀/DBA,,,,,,,,,M4
개발팀 (2024-04),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,데이터베이스설계,데이터모델링,2,3,6,논리적/물리적 데이터 모델 설계,,,,,,,,,,,개발팀,DBA,ERWin,설계,인덱스설계,데이터베이스설계,,M4
개발팀 (2024-04),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,데이터베이스설계,인덱스설계,1,1,1,성능 최적화를 위한 인덱스 설계,,,,,,,,,,,개발팀,DBA,수작업,설계,저장프로시저설계,데이터베이스설계,,M4
개발팀 (2024-04),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,데이터베이스설계,저장프로시저설계,1,2,2,비즈니스 로직 구현용 프로시저 설계,,,,,,,,,,,개발팀,DBA,수작업,설계,DB성능튜닝,데이터베이스설계,,M4
개발팀 (2024-04),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,데이터베이스설계,DB성능튜닝,1,1,1,데이터베이스 성능 최적화,,,,,,,,,,,개발팀,DBA,수작업,튜닝,,,데이터베이스설계,M4
보안팀 (2024-04),L5,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,보안설계,,2,4,8,시스템 보안 아키텍처 설계,보안팀,보안설계서,데이터베이스설계,인프라설계,완료율 100%,4주,프로젝트별,보안팀/개발팀,,,,,,,,,M5
보안팀 (2024-04),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,보안설계,인증설계,1,2,2,사용자 인증 체계 설계,,,,,,,,,,,보안팀,개발팀,수작업,설계,권한설계,보안설계,,M5
보안팀 (2024-04),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,보안설계,권한설계,1,1,1,사용자 권한 및 접근 제어 설계,,,,,,,,,,,보안팀,개발팀,수작업,설계,암호화설계,보안설계,,M5
보안팀 (2024-04),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,보안설계,암호화설계,1,2,2,데이터 암호화 및 보안 통신 설계,,,,,,,,,,,보안팀,인프라팀,수작업,설계,보안정책수립,보안설계,,M5
보안팀 (2024-04),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,보안설계,보안정책수립,1,1,1,보안 정책 및 가이드라인 수립,,,,,,,,,,,보안팀,,수작업,정책수립,,,보안설계,M5
인프라팀 (2024-05),L5,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,인프라설계,,3,5,15,인프라 아키텍처 설계,인프라팀,인프라설계서,보안설계,상세설계,완료율 100%,5주,프로젝트별,인프라팀/클라우드팀,,,,,,,,,M5
인프라팀 (2024-05),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,인프라설계,클라우드아키텍처,2,3,6,클라우드 인프라 구조 설계,,,,,,,,,,,인프라팀,클라우드팀,AWS,설계,네트워크설계,인프라설계,,M5
인프라팀 (2024-05),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,인프라설계,네트워크설계,1,2,2,네트워크 토폴로지 및 보안 설계,,,,,,,,,,,인프라팀,네트워크팀,수작업,설계,배포환경설계,인프라설계,,M5
인프라팀 (2024-05),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,인프라설계,배포환경설계,1,1,1,개발/스테이징/운영 환경 설계,,,,,,,,,,,인프라팀,개발팀,수작업,설계,모니터링설계,인프라설계,,M5
인프라팀 (2024-05),L6,전략기획,제품개발,스마트홈프로젝트,[Architecture]아키텍처,인프라설계,모니터링설계,1,1,1,시스템 모니터링 및 로깅 설계,,,,,,,,,,,인프라팀,운영팀,수작업,설계,,,인프라설계,M5
개발팀 (2024-05),L4,전략기획,제품개발,스마트홈프로젝트,[Development]개발,,,0,0,0,소프트웨어 개발 단계,,,,,,,,,,,,,,,,,
개발팀 (2024-05),L5,전략기획,제품개발,스마트홈프로젝트,[Development]개발,상세설계,,4,4,16,모듈별 상세 설계,개발팀,상세설계서,인프라설계,백엔드개발,완료율 100%,4주,프로젝트별,개발팀,,,,,,,,,M6
개발팀 (2024-05),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,상세설계,모듈설계,2,2,4,개별 모듈 상세 설계,,,,,,,,,,,개발팀,,Enterprise Architect,설계,인터페이스설계,상세설계,,M6
개발팀 (2024-05),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,상세설계,인터페이스설계,1,1,1,모듈 간 인터페이스 설계,,,,,,,,,,,개발팀,,수작업,설계,알고리즘설계,상세설계,,M6
개발팀 (2024-05),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,상세설계,알고리즘설계,1,2,2,핵심 알고리즘 설계,,,,,,,,,,,개발팀,,수작업,설계,코드리뷰준비,상세설계,,M6
개발팀 (2024-05),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,상세설계,코드리뷰준비,1,1,1,설계 검토 및 코드 리뷰 준비,,,,,,,,,,,개발팀,품질팀,수작업,검토,,,상세설계,M6
개발팀 (2024-06),L5,전략기획,제품개발,스마트홈프로젝트,[Development]개발,백엔드개발,,5,8,40,서버 사이드 로직 개발,개발팀,백엔드소스코드,상세설계,프론트엔드개발,완료율 95%,8주,스프린트별,개발팀,,,,,,,,,M7
개발팀 (2024-06),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,백엔드개발,API개발,2,4,8,REST API 서비스 개발,,,,,,,,,,,개발팀,,IntelliJ,코딩,서비스로직개발,백엔드개발,,M7
개발팀 (2024-06),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,백엔드개발,서비스로직개발,2,3,6,비즈니스 로직 구현,,,,,,,,,,,개발팀,,IntelliJ,코딩,데이터접근계층개발,백엔드개발,,M7
개발팀 (2024-06),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,백엔드개발,데이터접근계층개발,1,2,2,데이터베이스 연동 계층 개발,,,,,,,,,,,개발팀,DBA,IntelliJ,코딩,배치작업개발,백엔드개발,,M7
개발팀 (2024-06),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,백엔드개발,배치작업개발,1,2,2,배치 및 스케줄링 작업 개발,,,,,,,,,,,개발팀,,IntelliJ,코딩,성능최적화,백엔드개발,,M7
개발팀 (2024-06),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,백엔드개발,성능최적화,1,1,1,백엔드 성능 최적화,,,,,,,,,,,개발팀,,수작업,최적화,,,백엔드개발,M7
개발팀 (2024-07),L5,전략기획,제품개발,스마트홈프로젝트,[Development]개발,프론트엔드개발,,4,6,24,클라이언트 사이드 개발,개발팀,프론트엔드소스코드,백엔드개발,모바일앱개발,완료율 95%,6주,스프린트별,개발팀/디자인팀,,,,,,,,,M8
개발팀 (2024-07),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,프론트엔드개발,컴포넌트개발,2,3,6,재사용 가능한 UI 컴포넌트 개발,,,,,,,,,,,개발팀,디자인팀,React,코딩,페이지개발,프론트엔드개발,,M8
개발팀 (2024-07),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,프론트엔드개발,페이지개발,2,3,6,웹 페이지 및 화면 개발,,,,,,,,,,,개발팀,디자인팀,React,코딩,상태관리구현,프론트엔드개발,,M8
개발팀 (2024-07),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,프론트엔드개발,상태관리구현,1,2,2,앱 상태 관리 시스템 구현,,,,,,,,,,,개발팀,,React,코딩,API연동,프론트엔드개발,,M8
개발팀 (2024-07),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,프론트엔드개발,API연동,1,2,2,백엔드 API와의 연동 구현,,,,,,,,,,,개발팀,,React,코딩,반응형구현,프론트엔드개발,,M8
개발팀 (2024-07),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,프론트엔드개발,반응형구현,1,1,1,다양한 화면 크기 대응 구현,,,,,,,,,,,개발팀,디자인팀,CSS,코딩,,,프론트엔드개발,M8
개발팀 (2024-08),L5,전략기획,제품개발,스마트홈프로젝트,[Development]개발,모바일앱개발,,3,6,18,모바일 애플리케이션 개발,개발팀,모바일앱소스코드,프론트엔드개발,IoT개발,완료율 90%,6주,스프린트별,개발팀,,,,,,,,,M9
개발팀 (2024-08),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,모바일앱개발,안드로이드개발,2,3,6,안드로이드 네이티브 앱 개발,,,,,,,,,,,개발팀,,Android Studio,코딩,iOS개발,모바일앱개발,,M9
개발팀 (2024-08),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,모바일앱개발,iOS개발,2,3,6,iOS 네이티브 앱 개발,,,,,,,,,,,개발팀,,Xcode,코딩,크로스플랫폼테스트,모바일앱개발,,M9
개발팀 (2024-08),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,모바일앱개발,크로스플랫폼테스트,1,1,1,안드로이드/iOS 호환성 테스트,,,,,,,,,,,개발팀,품질팀,수작업,테스트,푸시알림구현,모바일앱개발,,M9
개발팀 (2024-08),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,모바일앱개발,푸시알림구현,1,1,1,모바일 푸시 알림 기능 구현,,,,,,,,,,,개발팀,인프라팀,Firebase,코딩,,,모바일앱개발,M9
IoT팀 (2024-09),L5,전략기획,제품개발,스마트홈프로젝트,[Development]개발,IoT개발,,4,8,32,IoT 디바이스 및 통신 개발,IoT팀,IoT펌웨어,모바일앱개발,데이터파이프라인,완료율 85%,8주,스프린트별,IoT팀/하드웨어팀,,,,,,,,,M10
IoT팀 (2024-09),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,IoT개발,센서개발,2,4,8,스마트홈 센서 개발,,,,,,,,,,,IoT팀,하드웨어팀,Embedded C,코딩,디바이스통신개발,IoT개발,,M10
IoT팀 (2024-09),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,IoT개발,디바이스통신개발,1,2,2,IoT 디바이스 간 통신 프로토콜 개발,,,,,,,,,,,IoT팀,네트워크팀,Embedded C,코딩,게이트웨이개발,IoT개발,,M10
IoT팀 (2024-09),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,IoT개발,게이트웨이개발,1,3,3,IoT 게이트웨이 소프트웨어 개발,,,,,,,,,,,IoT팀,네트워크팀,Linux,코딩,클라우드연동,IoT개발,,M10
IoT팀 (2024-09),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,IoT개발,클라우드연동,1,2,2,IoT 데이터 클라우드 전송 구현,,,,,,,,,,,IoT팀,클라우드팀,MQTT,코딩,펌웨어최적화,IoT개발,,M10
IoT팀 (2024-09),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,IoT개발,펌웨어최적화,1,1,1,IoT 디바이스 펌웨어 성능 최적화,,,,,,,,,,,IoT팀,,Embedded C,최적화,,,IoT개발,M10
데이터팀 (2024-10),L5,전략기획,제품개발,스마트홈프로젝트,[Development]개발,데이터파이프라인,,3,6,18,데이터 수집 및 처리 파이프라인 구축,데이터팀,데이터파이프라인,IoT개발,AI개발,완료율 90%,6주,스프린트별,데이터팀/인프라팀,,,,,,,,,M11
데이터팀 (2024-10),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,데이터파이프라인,데이터수집,1,2,2,IoT 디바이스 데이터 수집 시스템,,,,,,,,,,,데이터팀,IoT팀,Apache Kafka,개발,데이터처리,데이터파이프라인,,M11
데이터팀 (2024-10),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,데이터파이프라인,데이터처리,1,2,2,실시간 데이터 처리 및 변환,,,,,,,,,,,데이터팀,개발팀,Apache Spark,개발,데이터저장,데이터파이프라인,,M11
데이터팀 (2024-10),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,데이터파이프라인,데이터저장,1,2,2,빅데이터 저장소 구축,,,,,,,,,,,데이터팀,인프라팀,Hadoop,개발,데이터품질관리,데이터파이프라인,,M11
데이터팀 (2024-10),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,데이터파이프라인,데이터품질관리,1,1,1,데이터 품질 검증 및 관리,,,,,,,,,,,데이터팀,,Python,개발,,,데이터파이프라인,M11
AI팀 (2024-11),L5,전략기획,제품개발,스마트홈프로젝트,[Development]개발,AI개발,,4,8,32,인공지능 기능 개발,AI팀,AI모델,데이터파이프라인,단위테스트,완료율 80%,8주,스프린트별,AI팀/데이터팀,,,,,,,,,M12
AI팀 (2024-11),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,AI개발,머신러닝모델개발,2,4,8,사용자 패턴 학습 모델 개발,,,,,,,,,,,AI팀,데이터팀,Python,개발,딥러닝모델개발,AI개발,,M12
AI팀 (2024-11),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,AI개발,딥러닝모델개발,2,3,6,음성/이미지 인식 모델 개발,,,,,,,,,,,AI팀,,TensorFlow,개발,모델최적화,AI개발,,M12
AI팀 (2024-11),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,AI개발,모델최적화,1,2,2,AI 모델 성능 최적화,,,,,,,,,,,AI팀,,Python,최적화,추론엔진개발,AI개발,,M12
AI팀 (2024-11),L6,전략기획,제품개발,스마트홈프로젝트,[Development]개발,AI개발,추론엔진개발,1,2,2,실시간 AI 추론 엔진 개발,,,,,,,,,,,AI팀,개발팀,Python,개발,,,AI개발,M12
품질팀 (2024-12),L4,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,,,0,0,0,소프트웨어 품질 검증 단계,,,,,,,,,,,,,,,,,
품질팀 (2024-12),L5,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,단위테스트,,5,4,20,모듈별 단위 테스트,품질팀,단위테스트보고서,AI개발,통합테스트,커버리지 90%,4주,스프린트별,품질팀/개발팀,,,,,,,,,M13
품질팀 (2024-12),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,단위테스트,백엔드단위테스트,2,2,4,백엔드 모듈 단위 테스트,,,,,,,,,,,품질팀,개발팀,JUnit,테스트,프론트엔드단위테스트,단위테스트,,M13
품질팀 (2024-12),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,단위테스트,프론트엔드단위테스트,2,1,2,프론트엔드 컴포넌트 단위 테스트,,,,,,,,,,,품질팀,개발팀,Jest,테스트,모바일단위테스트,단위테스트,,M13
품질팀 (2024-12),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,단위테스트,모바일단위테스트,1,1,1,모바일 앱 단위 테스트,,,,,,,,,,,품질팀,개발팀,XCTest,테스트,AI단위테스트,단위테스트,,M13
품질팀 (2024-12),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,단위테스트,AI단위테스트,1,1,1,AI 모델 단위 테스트,,,,,,,,,,,품질팀,AI팀,Pytest,테스트,코드커버리지분석,단위테스트,,M13
품질팀 (2024-12),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,단위테스트,코드커버리지분석,1,1,1,코드 커버리지 측정 및 분석,,,,,,,,,,,품질팀,개발팀,SonarQube,분석,,,단위테스트,M13
품질팀 (2025-01),L5,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,통합테스트,,4,5,20,시스템 통합 테스트,품질팀,통합테스트보고서,단위테스트,성능테스트,통과율 95%,5주,스프린트별,품질팀/개발팀,,,,,,,,,M14
품질팀 (2025-01),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,통합테스트,API통합테스트,1,2,2,백엔드 API 통합 테스트,,,,,,,,,,,품질팀,개발팀,Postman,테스트,시스템통합테스트,통합테스트,,M14
품질팀 (2025-01),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,통합테스트,시스템통합테스트,2,2,4,전체 시스템 통합 테스트,,,,,,,,,,,품질팀,개발팀,Selenium,테스트,데이터베이스통합테스트,통합테스트,,M14
품질팀 (2025-01),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,통합테스트,데이터베이스통합테스트,1,1,1,데이터베이스 연동 테스트,,,,,,,,,,,품질팀,DBA,수작업,테스트,IoT통합테스트,통합테스트,,M14
품질팀 (2025-01),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,통합테스트,IoT통합테스트,1,2,2,IoT 디바이스 통합 테스트,,,,,,,,,,,품질팀,IoT팀,수작업,테스트,,,통합테스트,M14
품질팀 (2025-02),L5,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,성능테스트,,3,4,12,시스템 성능 및 부하 테스트,품질팀,성능테스트보고서,통합테스트,사용자테스트,응답시간 2초,4주,프로젝트별,품질팀/인프라팀,,,,,,,,,M15
품질팀 (2025-02),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,성능테스트,부하테스트,2,2,4,시스템 부하 한계 테스트,,,,,,,,,,,품질팀,인프라팀,JMeter,테스트,스트레스테스트,성능테스트,,M15
